Flat,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,TOTAL
B-0904,-,-,2000,2000,2000,2800,2800,2800,2800,17200
B-1101,-,-,-,-,-,-,-,2800,2800,5600
B-1104,-,-,-,-,-,-,-,-,2500,2500
B-1105,-,-,-,-,-,2800,-,-,2800,5600
B-1106,-,-,2000,2000,2000,2500,2500,2500,2500,16000
B-1107,-,-,-,-,-,-,-,2800,2800,5600
B-1201,-,-,-,-,-,-,-,2800,2800,5600
B-1207,-,-,-,-,-,-,2500,2500,2500,7500
B-1302,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-1303,-,-,-,-,-,-,-,-,2800,2800
B-1306,-,-,-,-,-,-,-,-,2500,2500
B-1308,-,-,-,-,-,-,-,-,2500,2500
B-1405,-,-,-,-,-,-,-,2800,2800,5600
B-1408,-,-,-,-,-,-,-,2800,2800,5600
B-1501,-,-,-,-,-,-,-,-,2800,2800
B-1502,-,-,-,-,-,2500,2500,2500,2500,10000
B-1506,-,-,-,-,-,-,-,2800,2800,5600
B-1508,-,-,-,-,-,-,-,-,2500,2500
B-1601,-,-,-,-,-,-,-,-,2800,2800
B-1604,-,-,-,-,-,-,-,2800,2800,5600
B-1605,-,-,-,-,-,-,-,-,2500,2500
B-1608,-,-,-,-,-,-,2800,2800,2800,8400
B-1704,-,-,-,-,-,-,-,2500,2500,5000
B-1707,-,-,-,-,-,-,-,2500,2500,5000
B-1803,-,-,-,-,-,-,-,-,2800,2800
B-1806,-,-,-,-,-,-,-,-,2500,2500
B-1807,-,-,-,-,-,-,2800,2800,2800,8400
B-1905,-,-,-,-,-,-,-,-,2800,2800
B-1907,-,-,-,-,-,-,-,-,2800,2800
B-2003,-,-,-,-,-,-,-,-,2500,2500
B-2006,-,-,-,2000,2000,-,-,2500,2500,9000
B-2008,-,-,-,-,-,-,-,-,2800,2800
B-2102,-,-,-,-,-,-,-,-,2500,2500
B-2301,-,-,-,-,-,-,-,2500,2500,5000
B-2302,-,-,-,-,-,-,-,-,2800,2800
B-2403,-,-,-,-,-,-,-,-,2800,2800
B-2404,-,-,-,-,-,-,-,-,2500,2500
B-2405,-,-,-,-,-,2500,2500,2500,2500,10000
B-2408,-,-,-,-,-,-,-,2800,2800,5600
B-2501,-,-,-,-,-,-,-,-,2500,2500
B-2502,-,-,-,-,-,-,-,-,2500,2500
B-2506,-,-,-,-,-,-,-,-,2500,2500
B-2604,-,-,-,-,-,-,-,2500,2500,5000
B-2605,-,-,-,-,-,-,-,2800,2800,5600
B-2704,-,-,-,-,-,-,-,-,2500,2500
B-2706,-,-,-,-,-,-,-,-,2500,2500
B-2707,-,-,-,-,-,-,2500,2500,2500,7500
B-2708,-,-,-,-,-,-,-,-,2800,2800
B-2801,-,-,-,-,-,-,-,-,2800,2800
B-2805,-,-,-,-,-,-,-,-,2500,2500
B-2901,-,-,-,-,-,2500,2500,2500,2500,10000
B-2902,-,-,-,-,-,-,2800,2800,2800,8400
B-2905,-,-,-,-,-,-,-,-,2800,2800
B-2907,-,-,-,-,-,-,-,2800,2800,5600
B-2908,-,-,-,-,-,-,-,2800,-,2800
B-3002,-,-,-,-,-,-,-,2800,2800,5600
B-3007,-,-,-,-,-,-,-,2500,2500,5000
B-3102,-,-,-,-,-,-,-,-,2800,2800
B-3103,500,-,-,2000,2000,-,-,-,-,4500
B-3104,500,-,-,2000,2000,-,-,-,-,4500
B-3105,-,-,-,-,-,-,-,2800,2800,5600
B-3106,-,-,-,-,-,2500,-,-,2500,5000
B-3202,-,-,-,-,-,-,-,-,2500,2500
B-3205,-,-,-,-,-,2800,300,2800,2500,8400
B-3206,-,-,-,-,2000,2500,2500,2500,2500,12000
B-3208,-,-,-,-,-,-,-,2800,2800,5600
B-3307,-,2000,2000,2000,2000,2500,2500,2500,2500,18000
B-3401,-,-,-,2000,2000,2500,2500,2500,2500,14000
B-3405,-,-,-,-,-,-,-,-,2500,2500
B-3406,-,-,-,-,-,-,-,-,2500,2500
B-3408,-,-,-,-,-,-,-,-,2500,2500
B-3507,-,-,-,-,-,-,-,2500,2500,5000
B-3601,-,-,-,-,-,-,-,2800,2800,5600
B-3604,-,-,-,-,-,-,-,2500,2500,5000
B-3702,-,-,-,-,-,-,-,2800,2800,5600
B-3707,-,-,-,-,-,-,2800,2800,2800,8400
B-3808,-,-,-,-,-,-,-,2800,2800,5600
B-1205,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-2004,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-2307,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-2508,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-2806,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-2903,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-3207,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-3706,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-3805,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
B-3806,500,2000,2000,2000,2000,2500,2500,2500,2500,18500
